index,macaddess,x,y,row,col,blockNumber,firstlocatedtime,lastlocatedtime
0,3c:a9:f4:29:f0:c8,183.72,126.98,8.0,12.0,172.0,2015-03-19 22:31:12,2015-03-19 23:31:47
1,e8:b1:fc:1b:1d:13,177.7,167.59,11.0,11.0,231.0,2015-03-19 23:11:12,2015-03-19 23:11:12
2,3c:a9:f4:7f:27:e8,190.97,83.02,5.0,12.0,112.0,2015-03-19 17:34:55,2015-03-19 23:17:12
3,3c:a9:f4:53:38:64,181.63,140.42,9.0,12.0,192.0,2015-03-19 22:31:10,2015-03-19 22:31:10
4,3c:a9:f4:33:6c:64,187.06,86.2,5.0,12.0,112.0,2015-03-19 21:26:04,2015-03-19 23:32:56
5,3c:a9:f4:55:eb:b8,183.14,129.27,8.0,12.0,172.0,2015-03-19 22:26:29,2015-03-19 23:24:30
6,e8:2a:ea:05:ca:58,179.87,152.49,10.0,12.0,212.0,2015-03-19 21:10:51,2015-03-19 23:30:37
7,e8:2a:ea:06:eb:13,180.83,145.9,9.0,12.0,192.0,2015-03-19 21:08:07,2015-03-19 21:08:07
8,84:3a:4b:08:99:fc,178.83,150.1,10.0,11.0,211.0,2015-03-19 18:30:46,2015-03-19 23:31:43
9,24:77:03:75:8e:b4,180.02,150.34,10.0,12.0,212.0,2015-03-19 22:16:14,2015-03-19 23:32:56
10,40:30:04:e9:0a:94,185.87,43.92,2.0,12.0,52.0,2015-03-19 19:45:50,2015-03-19 23:33:02
11,24:77:03:fd:05:fc,180.7,147.12,9.0,12.0,192.0,2015-03-19 18:55:47,2015-03-19 23:32:58
12,24:77:03:f9:b2:10,189.56,91.09,6.0,12.0,132.0,2015-03-19 16:23:09,2015-03-19 23:33:12
13,24:77:03:6c:09:24,180.84,148.4,9.0,12.0,192.0,2015-03-19 18:57:17,2015-03-19 23:24:54
14,24:77:03:6e:f4:dc,179.28,156.58,10.0,12.0,212.0,2015-03-19 22:51:28,2015-03-19 23:16:32
15,24:77:03:f9:cf:24,181.9,21.3,1.0,12.0,32.0,2015-03-19 23:21:25,2015-03-19 23:32:36
16,d0:22:be:0a:c6:0a,183.45,52.69,3.0,12.0,72.0,2015-03-19 23:16:08,2015-03-19 23:25:38
17,3c:a9:f4:33:74:38,177.59,170.81,11.0,11.0,231.0,2015-03-19 23:11:00,2015-03-19 23:31:35
18,24:77:03:d3:f6:58,188.88,95.97,6.0,12.0,132.0,2015-03-19 20:15:52,2015-03-19 23:30:17
19,a0:88:69:08:b1:d2,184.61,24.68,1.0,12.0,32.0,2015-03-19 16:25:43,2015-03-19 23:10:02
20,a0:88:69:07:1e:67,184.13,24.95,1.0,12.0,32.0,2015-03-19 20:55:53,2015-03-19 23:04:07
21,e8:2a:ea:4a:f4:c5,183.53,123.91,8.0,12.0,172.0,2015-03-19 22:21:06,2015-03-19 23:32:06
22,14:1a:a3:88:fe:72,183.98,75.2,5.0,12.0,112.0,2015-03-19 20:51:00,2015-03-19 21:58:01
23,3c:a9:f4:2a:41:08,187.91,85.61,5.0,12.0,112.0,2015-03-19 21:21:02,2015-03-19 23:32:28
24,3c:a9:f4:33:a5:64,188.19,84.07,5.0,12.0,112.0,2015-03-19 21:35:58,2015-03-19 23:32:32
25,24:77:03:71:23:58,187.88,60.36,4.0,12.0,92.0,2015-03-19 22:26:33,2015-03-19 23:32:44
26,a0:88:69:0b:9e:10,186.98,43.81,2.0,12.0,52.0,2015-03-19 18:30:46,2015-03-19 22:02:20
27,a0:88:69:04:38:28,185.54,22.23,1.0,12.0,32.0,2015-03-17 22:12:39,2015-03-19 23:24:36
28,90:b6:86:29:9c:85,182.39,135.44,9.0,12.0,192.0,2015-03-19 21:35:56,2015-03-19 23:33:08
29,10:0b:a9:98:36:ec,187.99,45.8,3.0,12.0,72.0,2015-03-19 22:31:12,2015-03-19 23:32:30
30,7c:7a:91:d1:f5:1f,191.36,62.86,4.0,12.0,92.0,2015-03-19 22:56:03,2015-03-19 23:21:13
31,24:77:03:f6:9d:c8,180.79,135.86,9.0,12.0,192.0,2015-03-19 22:26:13,2015-03-19 23:30:19
32,de:1a:fa:f9:e1:72,178.47,162.24,10.0,11.0,211.0,2015-03-19 23:17:02,2015-03-19 23:17:02
33,bc:6e:64:70:d1:4a,184.42,43.93,2.0,12.0,52.0,2015-03-19 23:26:04,2015-03-19 23:26:04
34,14:99:e2:05:f8:69,185.21,45.34,3.0,12.0,72.0,2015-03-16 21:11:14,2015-03-19 23:28:51
35,00:27:22:32:e1:01,181.04,144.4,9.0,12.0,192.0,2015-03-11 02:48:23,2015-03-19 06:14:59
36,02:18:2a:d3:bb:c0,179.96,142.0,9.0,12.0,192.0,2015-03-09 22:49:58,2015-03-19 23:24:22
37,b8:78:2e:1a:55:7e,184.47,79.76,5.0,12.0,112.0,2015-03-19 03:47:54,2015-03-19 23:19:10
